booking_order_id,booking_date,customer_id,booking_id,quantity,selling_price,discount,cancelled
O1001,2025-01-18 10:32:15,C1001,B1001,1,342500.125,7500.000,0
O1002,2025-02-24 14:18:42,C1002,B1002,1,215500.7834,4500.0000,0
O1003,2025-03-15 09:45:27,C1003,B1003,1,725000.982,25000.000,0
O1004,2025-04-12 16:21:38,C1004,B1004,1,120000.3456,5000.0000,0
O1005,2025-04-25 11:17:53,C1005,B1005,1,438500.567,11500.000,0
O1006,2025-05-31 13:42:19,C1001,B1006,1,271000.2345,9000.0000,0
O1007,2025-06-20 15:36:44,C1004,B1007,1,825000.678,25000.000,0
O1008,2025-07-04 10:11:26,C1008,B1008,1,175000.4567,5000.0000,0
O1009,2025-07-22 17:28:51,C1001,B1009,1,605000.891,15000.000,0
O1010,2025-08-08 12:05:37,C1010,B1010,1,925000.3456,25000.0000,0
O1011,2025-08-21 09:52:18,C1004,B1011,1,365000.678,15000.000,0
O1012,2025-08-30 14:27:46,C1012,B1012,1,145000.234,5000.000,0
O1013,2025-09-16 11:38:29,C1001,B1013,1,505000.7891,15000.000,0
O1014,2025-09-28 16:45:12,C1014,B1014,1,1075000.456,25000.000,0
O1015,2025-10-11 10:24:36,C1014,B1015,1,282000.6789,8000.0000,0
O1016,2025-10-25 13:19:54,C1016,B1016,1,525000.345,25000.000,1
O1017,2025-11-09 15:07:41,C1017,B1017,1,110000.8912,5000.0000,0
O1018,2025-11-22 12:36:25,C1018,B1018,1,328000.567,12000.000,0
O1019,2025-12-08 09:18:47,C1018,B1019,1,1210000.2345,40000.0000,0
O1020,2025-12-20 17:41:33,C1018,B1020,1,295000.789,15000.000,1
