payment_id,booking_order_id,payment_amount,payment_date,payment_method
PMT001,O1001,342500.125,18-01-2025,Credit Card
PMT002,O1002,215500.7834,20-01-2025,Bank Transfer
PMT003,O1003,362500.5,25-01-2025,Credit Card
PMT004,O1004,198500.25,28-01-2025,UPI
PMT005,O1005,150000,05-02-2025,UPI
PMT006,O1005,80000,20-02-2025,UPI
PMT007,O1006,275000.6,08-02-2025,Bank Transfer
PMT008,O1007,362500.982,10-02-2025,Bank Transfer
PMT009,O1009,257500.25,15-02-2025,Credit Card
PMT010,O1011,725000.982,01-03-2025,Bank Transfer
PMT011,O1011,150000,15-03-2025,Bank Transfer
PMT012,O1011,100000,30-03-2025,Bank Transfer
PMT013,O1013,410000.4,05-03-2025,Credit Card
PMT014,O1014,187500.5,10-04-2025,UPI
PMT015,O1015,295000.75,12-04-2025,Bank Transfer
PMT016,O1017,412500.75,18-04-2025,Credit Card
PMT017,O1019,330000.2,22-04-2025,Credit Card
PMT018,O1021,178500.9,25-04-2025,UPI
PMT019,O1021,90000,05-05-2025,UPI
